origin_date,stage,selected_family,inner_cv_mae
2021-11-30,M0,ridge,54.8083
2021-11-30,M1,ridge,64.239123
2021-11-30,M2,ridge,64.222582
2021-12-31,M0,ridge,58.938021
2021-12-31,M1,elasticnet,69.738482
2021-12-31,M2,elasticnet,69.738482
2022-01-31,M0,ridge,61.112455
2022-01-31,M1,ridge,65.603809
2022-01-31,M2,ridge,65.585979
2022-02-28,M0,ridge,60.029185
2022-02-28,M1,ridge,61.044508
2022-02-28,M2,ridge,61.01665
2022-03-31,M0,ridge,53.829921
2022-03-31,M1,ridge,65.101682
2022-03-31,M2,ridge,65.021142
2022-04-30,M0,ridge,57.117112
2022-04-30,M1,ridge,69.24522
2022-04-30,M2,ridge,69.22546
2022-05-31,M0,ridge,64.168329
2022-05-31,M1,ridge,76.917515
2022-05-31,M2,ridge,76.896917
2022-06-30,M0,elasticnet,63.772574
2022-06-30,M1,elasticnet,74.964614
2022-06-30,M2,ridge,74.921302
2022-07-31,M0,elasticnet,63.860671
2022-07-31,M1,elasticnet,66.349836
2022-07-31,M2,elasticnet,66.344958
2022-08-31,M0,ridge,67.593419
2022-08-31,M1,ridge,77.15864
2022-08-31,M2,ridge,77.093794
2022-09-30,M0,elasticnet,70.382968
2022-09-30,M1,ridge,75.042267
2022-09-30,M2,ridge,74.805106
2022-10-31,M0,ridge,70.498362
2022-10-31,M1,ridge,84.033077
2022-10-31,M2,ridge,83.967377
2022-11-30,M0,ridge,68.250362
2022-11-30,M1,elasticnet,83.717695
2022-11-30,M2,elasticnet,83.707912
2022-12-31,M0,elasticnet,71.155756
2022-12-31,M1,ridge,86.063984
2022-12-31,M2,ridge,86.037195
2023-01-31,M0,ridge,74.171149
2023-01-31,M1,elasticnet,85.715051
2023-01-31,M2,elasticnet,85.701991
2023-02-28,M0,ridge,74.179074
2023-02-28,M1,elasticnet,83.508705
2023-02-28,M2,elasticnet,83.487417
2023-03-31,M0,ridge,73.490491
2023-03-31,M1,ridge,85.107153
2023-03-31,M2,ridge,85.038332
2023-04-30,M0,ridge,75.708275
2023-04-30,M1,elasticnet,85.439177
2023-04-30,M2,elasticnet,85.422285
2023-05-31,M0,elasticnet,81.478013
2023-05-31,M1,ridge,92.4769
2023-05-31,M2,ridge,92.468546
2023-06-30,M0,ridge,81.680236
2023-06-30,M1,elasticnet,91.596769
2023-06-30,M2,elasticnet,91.618078
2023-07-31,M0,ridge,80.240669
2023-07-31,M1,elasticnet,71.160047
2023-07-31,M2,elasticnet,71.205203
2023-08-31,M0,elasticnet,79.890169
2023-08-31,M1,elasticnet,71.023224
2023-08-31,M2,elasticnet,71.001226
2023-09-30,M0,ridge,79.617834
2023-09-30,M1,elasticnet,70.812662
2023-09-30,M2,elasticnet,70.765458
2023-10-31,M0,ridge,78.289639
2023-10-31,M1,elasticnet,69.350772
2023-10-31,M2,elasticnet,69.306617
2023-11-30,M0,elasticnet,77.678965
2023-11-30,M1,elasticnet,69.09891
2023-11-30,M2,elasticnet,69.054101
2023-12-31,M0,elasticnet,80.426506
2023-12-31,M1,elasticnet,72.085264
2023-12-31,M2,elasticnet,72.039611
2024-01-31,M0,elasticnet,82.153786
2024-01-31,M1,elasticnet,71.001865
2024-01-31,M2,elasticnet,70.96549
2024-02-29,M0,ridge,75.515656
2024-02-29,M1,elasticnet,62.721563
2024-02-29,M2,elasticnet,62.680573
2024-03-31,M0,ridge,67.724474
2024-03-31,M1,ridge,60.003246
2024-03-31,M2,ridge,59.930155
2024-04-30,M0,ridge,66.099322
2024-04-30,M1,elasticnet,55.014048
2024-04-30,M2,elasticnet,55.007574
2024-05-31,M0,elasticnet,69.100644
2024-05-31,M1,ridge,59.594401
2024-05-31,M2,ridge,59.611513
2024-06-30,M0,ridge,66.627373
2024-06-30,M1,elasticnet,62.199729
2024-06-30,M2,elasticnet,62.24723
2024-07-31,M0,elasticnet,60.768464
2024-07-31,M1,elasticnet,59.249941
2024-07-31,M2,elasticnet,59.326905
2024-08-31,M0,elasticnet,56.338055
2024-08-31,M1,ridge,55.387007
2024-08-31,M2,ridge,55.412741
2024-09-30,M0,elasticnet,53.972169
2024-09-30,M1,ridge,52.615547
2024-09-30,M2,ridge,52.603842
2024-10-31,M0,elasticnet,52.4601
2024-10-31,M1,ridge,51.791295
2024-10-31,M2,ridge,51.784519
2024-11-30,M0,elasticnet,52.97883
2024-11-30,M1,ridge,52.060597
2024-11-30,M2,ridge,52.030331
2024-12-31,M0,elasticnet,52.034779
2024-12-31,M1,ridge,51.140493
2024-12-31,M2,ridge,51.107193
2025-01-31,M0,elasticnet,50.452063
2025-01-31,M1,ridge,51.430041
2025-01-31,M2,ridge,51.448184
2025-02-28,M0,ridge,49.665554
2025-02-28,M1,ridge,51.712234
2025-02-28,M2,ridge,51.741947
2025-03-31,M0,ridge,51.375812
2025-03-31,M1,ridge,53.380238
2025-03-31,M2,ridge,53.378999
2025-04-30,M0,elasticnet,47.595193
2025-04-30,M1,elasticnet,47.431984
2025-04-30,M2,elasticnet,47.454641
2025-05-31,M0,elasticnet,43.201738
2025-05-31,M1,elasticnet,41.641724
2025-05-31,M2,elasticnet,41.634248
2025-06-30,M0,elasticnet,39.94967
2025-06-30,M1,ridge,38.013317
2025-06-30,M2,ridge,37.933239
2025-07-31,M0,elasticnet,39.518934
2025-07-31,M1,ridge,35.938678
2025-07-31,M2,ridge,35.872638
2025-08-31,M0,ridge,37.261173
2025-08-31,M1,ridge,35.22363
2025-08-31,M2,ridge,35.122242
2025-09-30,M0,elasticnet,33.892925
2025-09-30,M1,ridge,32.934354
2025-09-30,M2,ridge,32.969448
2025-10-31,M0,elasticnet,38.620364
2025-10-31,M1,ridge,36.469716
2025-10-31,M2,ridge,36.417702
2025-11-30,M0,elasticnet,37.876046
2025-11-30,M1,ridge,35.353983
2025-11-30,M2,ridge,35.28989
2025-12-31,M0,elasticnet,39.466544
2025-12-31,M1,ridge,37.009987
2025-12-31,M2,ridge,36.98365
